A,B,C,D,E,F,target
-2.159,III,3,0.512,2.723,-1.828,60.0
-2.468,III,6,0.143,4.111,-4.258,82.58
2.101,III,7,0.607,0.556,0.749,60.91
-2.67,I,4,0.102,6.171,3.819,82.07
-2.844,III,7,0.153,8.19,-2.496,83.69
2.74,II,3,0.324,0.842,-3.29,35.7
2.008,III,3,0.349,0.719,-1.023,48.34
-2.28,I,0,0.121,2.699,3.369,52.51
2.666,II,4,1.008,1.541,-5.968,39.06
-2.431,II,6,0.47,1.243,-1.579,49.16
-2.793,II,5,0.785,0.491,0.294,45.76
2.857,III,3,0.889,0.191,2.973,56.45
-2.556,I,0,1.612,0.284,-1.313,54.71
-2.977,II,5,0.287,1.705,0.124,51.17
2.427,II,7,0.749,8.049,7.287,74.37
2.227,II,6,1.442,0.409,0.447,43.61
-2.296,II,7,0.091,0.495,10.914,43.24
-2.751,IV,6,0.02,2.342,-3.11,74.89
-2.734,I,7,0.022,2.538,0.407,74.43
2.436,I,4,1.398,4.232,-0.604,72.67
-2.674,III,5,1.057,0.001,1.282,48.1
-2.002,II,3,1.937,1.269,1.128,48.23
2.26,II,7,1.416,1.791,-1.505,43.0
2.708,II,8,0.078,2.091,-1.239,51.13
2.528,II,8,0.145,3.318,-0.9,63.52
2.218,II,5,1.036,3.17,-0.998,62.99
-2.676,II,10,0.008,5.077,-1.263,79.71
-2.154,III,2,0.396,0.317,-2.303,51.72
-2.673,III,4,0.316,1.953,-1.291,61.37
-2.558,III,5,0.827,2.644,-0.898,72.18
-2.272,I,6,1.228,0.958,-0.475,60.55
2.059,III,2,1.067,0.62,0.297,53.61
-2.633,I,4,0.399,0.024,-0.623,55.74
-2.039,I,6,0.019,10.78,-0.437,80.07
-2.199,II,7,0.599,7.209,4.172,74.89
2.167,I,4,1.158,0.023,-0.672,52.02
-2.864,II,7,0.324,0.075,0.416,44.41
-2.697,I,5,0.884,5.004,0.291,74.59
-2.125,II,6,0.043,9.671,-3.505,81.02
2.948,II,1,0.34,4.59,-0.77,55.73
-2.888,IV,6,0.119,1.262,0.767,60.96
-2.237,II,2,0.422,3.716,0.977,49.67
2.566,II,5,0.756,0.526,1.243,52.82
2.256,III,10,1.019,1.442,0.108,64.08
-2.34,IV,7,0.568,0.039,-1.724,52.52
-2.932,II,3,0.653,0.704,5.538,45.88
-2.722,II,6,0.278,0.132,-3.902,45.88
2.338,II,5,0.287,5.318,-0.495,80.2
-2.638,III,6,0.117,2.12,1.352,71.76
2.54,IV,5,0.003,3.073,-2.09,72.79
-2.08,I,2,0.471,1.901,-4.835,58.51
-2.824,III,7,0.232,0.175,-1.447,51.46
2.243,III,7,0.363,0.198,-7.023,56.46
2.636,III,4,0.346,0.615,-1.23,51.96
2.301,III,4,0.349,1.028,-0.537,55.09
2.141,III,9,0.452,1.861,2.492,66.17
2.922,III,2,1.738,2.092,-0.607,58.37
2.608,III,5,0.125,8.717,-1.256,81.48
-2.31,I,6,0.822,0.924,-0.01,61.6
-2.864,III,6,0.661,1.436,2.177,60.82
-2.535,IV,2,0.114,0.717,-0.192,54.82
-2.628,III,5,0.036,0.629,0.03,53.45
-2.905,III,5,0.276,6.282,-0.325,80.86
-2.891,II,3,0.164,0.285,-2.047,48.14
-2.155,III,6,0.383,0.256,1.107,49.64
-2.338,II,2,0.985,0.389,0.65,46.14
2.385,I,4,0.463,2.722,-3.038,73.95
-2.594,I,2,0.909,2.16,0.771,59.54
-2.572,III,7,0.484,6.853,-1.602,79.25
2.316,II,5,0.549,6.592,-2.377,76.86
2.53,II,4,0.104,0.803,5.677,55.12
-2.848,I,5,0.696,4.507,0.665,74.57
-2.641,III,8,1.133,1.511,-0.306,62.33
2.281,III,6,0.372,1.012,0.679,61.23
-2.223,III,6,1.834,0.188,0.345,52.04
-2.69,II,10,0.61,12.106,-6.139,76.38
-2.553,IV,5,0.046,0.549,0.985,54.09
-2.645,III,6,0.393,1.158,1.19,59.43
2.736,III,3,0.462,3.296,-1.601,65.02
2.586,III,3,0.198,2.594,-1.487,66.02
2.342,I,6,0.776,3.066,0.69,70.51
-2.169,III,6,0.316,1.282,-2.31,60.96
-2.15,III,0,0.57,9.877,-2.506,54.93
-2.72,II,1,0.363,2.067,0.024,47.69
-2.292,III,3,0.156,1.977,-1.173,55.05
-2.184,I,7,0.688,1.206,2.252,65.7
-2.335,II,7,0.842,0.805,-5.169,49.39
2.726,II,3,0.95,0.354,-1.461,36.17
-2.522,I,7,0.48,0.697,-0.547,59.02
-2.944,II,9,0.146,1.402,-4.4,51.02
-2.531,II,5,0.08,0.278,-1.458,46.37
-2.966,II,8,0.656,2.661,-0.185,63.95
2.898,III,1,0.27,5.548,-2.464,60.9
2.5,II,7,0.393,1.864,-1.436,41.98
2.548,III,4,0.357,2.233,5.355,74.12
2.324,II,4,0.305,3.735,-4.487,65.42
2.441,III,1,0.194,5.471,-1.946,60.22
2.516,III,2,0.756,3.2,-2.13,59.25
2.66,I,2,0.347,1.764,-0.505,55.2
2.894,I,4,0.11,0.418,1.526,62.43
2.668,III,6,0.232,7.379,0.703,80.32
-2.75,II,6,0.244,3.506,0.222,68.98
2.177,III,3,0.413,2.834,-1.336,65.52
-2.223,II,6,1.662,2.671,-5.33,64.73
2.395,III,2,0.232,0.333,-0.541,48.9
-2.72,III,5,0.202,0.874,1.82,52.57
2.343,III,3,0.188,2.084,0.153,63.36
-2.997,II,7,0.623,1.5,0.173,49.96
2.339,III,7,0.613,1.887,-1.854,63.81
-2.712,II,10,0.402,0.045,0.076,44.71
-2.202,II,4,0.009,1.87,-0.191,52.88
2.922,II,5,0.478,0.661,-1.5,35.79
-2.802,II,6,0.048,3.021,-2.176,66.37
2.448,IV,3,0.321,3.34,1.503,69.88
2.825,III,7,0.621,4.275,-2.002,75.96
2.271,II,2,0.008,0.249,2.477,54.68
2.114,III,5,0.952,2.686,-0.665,71.02
-2.327,II,2,1.086,1.284,5.042,48.37
2.638,II,6,0.917,1.419,-0.96,42.43
2.356,III,4,0.168,1.173,-5.819,56.34
2.024,III,7,1.4,3.282,-2.388,73.14
-2.051,I,4,0.271,0.761,0.065,58.59
2.849,III,3,0.012,3.76,-1.316,71.36
2.801,II,5,0.333,0.263,1.36,51.9
-2.799,II,8,0.229,1.432,0.386,49.96
-2.956,II,10,1.915,0.029,0.43,44.3
-2.922,III,3,0.831,19.468,-0.581,68.23
2.691,III,4,0.574,0.842,4.343,58.68
2.453,I,3,0.226,2.458,-0.176,66.87
2.948,II,2,0.442,3.631,2.454,57.56
-2.687,II,7,1.363,2.156,1.819,57.18
-2.264,III,4,0.783,0.568,1.363,52.61
-2.803,I,2,1.081,10.775,1.497,62.58
2.193,II,6,0.092,1.154,-0.446,45.16
-2.536,II,9,1.263,0.803,3.976,45.94
-2.524,II,3,0.324,0.203,1.582,44.08
2.701,III,5,1.11,0.846,-2.045,56.45
-2.993,IV,4,0.364,0.578,2.168,55.46
-2.889,III,3,0.603,2.727,2.063,60.24
2.747,III,5,0.173,0.732,-6.344,55.96
2.207,II,6,1.484,1.817,0.087,49.9
-2.944,III,2,0.156,0.075,0.84,47.88
2.951,III,4,0.684,3.478,1.578,77.52
-2.202,II,5,0.522,1.402,0.527,47.51
2.445,I,3,0.151,1.325,0.241,61.4
2.527,II,6,0.008,0.937,-1.485,36.21
2.822,II,6,0.634,2.516,-0.406,56.06
2.451,II,3,0.963,1.309,4.004,58.29
-2.658,II,5,0.49,1.261,-6.125,48.79
-2.473,II,6,1.975,5.472,-1.717,75.17
2.838,III,3,0.577,11.255,-1.218,70.47
-2.455,II,8,0.582,7.567,-6.347,76.85
-2.598,III,6,0.248,8.562,1.638,83.12
-2.92,II,11,1.112,3.012,1.889,65.27
2.013,III,5,0.051,1.418,5.214,62.04
2.233,III,6,0.446,0.034,1.331,59.87
-2.486,III,7,0.294,0.344,0.656,53.08
-2.341,II,7,0.918,0.214,4.552,43.25
-2.994,II,4,0.72,0.984,0.6,46.46
-2.986,III,3,0.794,0.061,-1.98,50.28
-2.226,III,5,0.421,4.467,-0.26,77.38
2.43,I,4,0.429,1.134,-0.395,53.27
2.652,III,6,1.088,0.964,-6.059,59.59
-2.729,II,8,0.769,5.942,-4.172,75.13
-2.156,III,5,0.358,2.341,6.955,71.67
2.639,II,6,0.576,0.697,-2.471,35.58
2.98,II,8,1.983,0.834,-0.57,41.9
2.294,II,2,0.459,4.953,-2.556,54.47
2.447,III,4,0.0,6.947,-1.385,78.62
-2.866,III,3,0.675,0.282,7.073,48.61
2.9,II,8,0.001,2.767,0.063,61.14
-2.001,I,6,0.611,7.285,-1.356,77.14
2.887,III,5,1.466,0.09,-4.608,54.43
2.906,III,7,0.231,1.208,2.984,62.2
2.769,II,4,1.218,0.009,0.692,46.79
-2.802,II,7,0.047,1.766,0.142,53.23
-2.701,III,6,0.712,0.703,-0.775,56.11
-2.079,II,6,1.19,8.699,-1.102,74.93
2.264,II,4,1.421,2.468,0.959,56.96
-2.037,I,8,0.563,3.981,-0.356,76.68
2.709,III,11,0.579,3.967,-1.858,76.16
-2.768,III,4,1.097,2.314,2.033,69.66
-2.664,I,3,0.19,0.036,1.653,59.03
-2.995,II,4,0.577,0.329,-1.206,45.99
2.993,III,3,0.583,1.391,-3.584,52.62
-2.967,III,4,1.319,0.186,-4.146,51.2
-2.532,I,5,0.302,0.501,-2.908,58.43
2.069,I,2,0.341,0.116,-0.338,47.68
2.271,II,4,0.04,3.368,-0.432,61.83
2.536,II,3,0.249,5.166,1.139,65.86
2.536,II,2,0.601,8.208,-0.075,61.47
2.087,III,4,0.036,4.469,2.754,84.87
-2.276,III,5,0.58,2.259,1.484,69.9
2.146,II,5,0.314,1.046,-0.317,45.08
2.686,III,7,0.712,6.665,2.016,77.02
2.749,III,1,0.097,1.476,-7.008,51.51
2.448,II,4,0.761,3.387,-2.075,60.8
-2.346,III,5,0.244,6.031,-0.397,80.84
-2.619,III,5,1.372,8.967,4.333,75.28
2.42,III,4,1.072,3.965,-1.851,72.13
-2.906,II,5,0.992,1.614,-0.482,50.3
-2.635,III,5,0.693,1.206,0.452,57.53
2.426,II,9,1.024,1.04,-1.044,41.22
-2.755,II,3,0.971,7.364,2.629,64.13
-2.831,II,3,1.241,0.276,-0.545,48.46
-2.739,I,5,0.429,7.915,0.336,77.09
2.758,III,8,0.482,3.795,-4.802,78.59
-2.188,II,8,0.594,10.223,2.02,75.49
-2.367,III,1,0.684,3.069,-0.053,47.67
2.738,III,7,0.541,3.26,-0.432,75.62
-2.829,IV,9,0.195,0.285,1.166,52.59
-2.068,II,3,0.437,8.955,0.003,63.46
-2.469,III,4,0.847,3.728,-6.416,75.54
2.003,III,3,0.237,0.195,-0.936,48.56
2.645,II,7,0.276,0.302,2.948,51.94
-2.744,II,3,0.586,4.454,-1.514,56.65
-2.281,III,8,0.852,3.02,-1.209,73.02
-2.452,III,6,0.789,1.858,-1.269,63.29
2.607,III,4,0.188,2.936,1.269,80.09
-2.978,I,2,0.887,0.452,0.091,63.15
2.553,I,9,0.392,0.774,-2.807,55.25
-2.117,III,5,0.645,1.311,7.056,56.23
2.387,III,4,1.187,1.309,3.496,60.22
2.548,III,1,0.821,5.66,-0.905,61.12
2.392,I,9,0.991,2.073,-0.626,67.85
2.657,III,5,0.927,2.564,0.203,71.48
2.021,III,4,0.153,1.861,0.471,63.01
2.775,II,5,0.323,3.53,-0.902,64.69
-2.595,III,5,0.682,3.176,-3.22,76.64
-2.408,I,3,1.037,0.111,3.358,61.93
-2.414,II,3,0.638,1.451,-3.503,50.57
2.635,II,7,1.137,3.462,-2.117,61.43
-2.238,I,2,1.008,1.334,-1.067,55.62
2.196,II,6,0.324,0.263,0.33,41.72
-2.549,I,3,0.275,0.379,-3.825,55.98
-2.518,II,4,0.371,8.947,1.23,77.69
-2.821,I,3,0.009,6.551,0.994,73.58
2.56,IV,2,0.827,6.532,0.525,69.13
-2.543,II,1,0.373,2.556,-2.691,42.86
2.502,III,8,0.633,0.231,-9.42,56.69
2.098,I,3,0.23,3.466,3.798,72.02
2.033,II,6,0.241,10.342,0.551,79.87
2.043,II,4,0.19,0.438,-0.292,42.44
2.927,II,5,0.935,1.417,-2.598,39.14
-2.345,III,9,0.604,0.445,-1.117,54.53
-2.774,III,12,0.131,1.682,1.494,61.73
-2.576,III,6,1.228,6.336,1.169,75.21
2.431,II,5,0.924,5.87,-0.227,75.26
2.067,III,3,0.59,1.525,-3.309,53.8
-2.751,III,5,0.394,6.262,-3.15,80.44
2.125,I,7,0.395,13.094,-0.271,78.68
-2.792,I,5,0.571,1.025,1.147,64.4
2.192,I,3,1.176,0.011,1.724,63.01
-2.89,II,5,1.552,0.335,-0.482,46.32
2.004,III,5,0.794,0.055,-0.252,56.95
2.52,II,6,0.882,1.738,-5.375,43.11
2.865,III,3,0.945,2.115,-2.097,61.95
2.683,III,5,0.467,4.232,2.897,81.67
2.622,III,5,1.066,0.772,-1.294,56.29
-2.362,II,4,0.294,1.521,-0.894,49.46
2.772,II,4,0.993,1.565,-0.666,42.44
2.552,II,2,0.344,2.434,-3.535,48.61
-2.337,IV,3,1.188,0.15,-2.107,54.25
-2.039,I,1,0.178,0.019,-1.875,55.75
-2.439,IV,5,0.586,1.134,-6.977,58.15
-2.415,II,4,0.07,0.007,-1.957,44.17
-2.134,II,4,0.065,8.189,1.885,80.9
2.006,IV,8,1.235,0.407,-0.711,57.37
2.718,I,6,1.731,11.39,-2.368,74.7
-2.594,I,6,0.991,0.012,5.136,63.07
-2.225,III,1,0.722,4.435,-1.995,48.51
-2.171,I,11,0.1,0.122,-0.057,57.54
-2.075,II,2,0.242,3.797,-2.164,45.91
-2.03,II,5,0.226,6.709,-4.827,82.29
-2.424,I,4,0.621,2.021,4.651,73.44
-2.496,I,8,1.766,0.229,5.511,63.08
-2.416,III,7,0.932,6.085,-4.504,75.79
-2.176,II,6,1.556,0.417,3.977,43.64
2.355,IV,2,0.386,2.96,-0.587,60.55
2.976,I,4,0.832,6.987,4.437,75.82
-2.119,II,4,0.877,1.119,-0.812,49.55
2.472,I,4,0.375,3.027,1.605,80.44
2.193,II,6,0.761,0.306,-1.098,37.59
2.308,III,2,0.035,6.027,0.048,69.32
-2.327,II,4,0.847,0.766,5.14,45.11
-2.678,II,10,0.684,0.698,4.008,45.22
-2.754,I,6,0.326,1.576,-4.994,63.01
2.078,II,6,0.812,0.173,-0.808,38.28
2.782,III,10,0.319,2.445,0.136,74.5
-2.781,III,6,0.485,2.55,-1.365,75.56
-2.956,II,7,0.144,0.732,-1.013,48.45
-2.331,II,1,0.34,5.946,-2.366,50.04
2.917,III,6,0.577,4.325,-0.001,74.96
2.684,II,2,0.315,1.795,2.984,57.98
2.338,I,6,0.827,1.257,-0.733,57.6
-2.539,I,3,0.052,4.28,3.126,73.88
2.464,II,2,0.554,0.921,-5.126,35.89
2.846,III,7,2.121,6.013,-1.652,73.87
2.677,II,3,0.063,1.026,-3.604,36.41
2.375,II,8,0.291,0.67,1.63,51.53
2.384,I,4,0.885,2.632,-1.282,70.73
-2.417,II,9,0.197,8.573,0.252,82.57
-2.097,II,3,0.535,3.479,-4.148,53.47
-2.707,II,3,0.354,0.956,-1.11,49.88
-2.37,III,4,0.317,0.265,-0.33,50.38
2.399,I,6,0.042,1.494,4.828,64.45
2.184,I,1,0.481,8.812,-1.875,59.95
-2.733,II,4,0.179,2.149,-2.262,57.4
-2.697,I,4,0.826,7.137,1.266,73.83
2.265,II,4,0.143,17.246,3.003,81.92
2.78,II,5,0.207,1.078,4.318,56.12
2.177,III,5,0.575,1.257,4.874,60.74
2.63,I,8,0.138,0.451,-0.259,53.93
2.039,III,3,1.248,0.515,-2.99,47.76
-2.234,II,9,0.113,1.665,2.696,48.68
2.551,IV,7,0.361,4.791,6.638,82.73
2.738,II,5,0.283,1.257,0.819,52.42
2.601,I,9,0.794,6.072,-0.095,73.56
-2.467,III,4,0.36,0.048,-0.003,48.61
2.662,I,7,1.271,0.647,-3.798,55.31
-2.44,II,9,0.423,0.683,-1.849,47.85
2.227,II,10,0.112,5.917,1.008,81.13
-2.839,III,7,0.675,5.231,4.048,77.73
2.592,II,5,0.178,1.39,-0.614,42.59
-2.081,II,6,0.172,1.805,-1.277,52.98
-2.8,II,7,0.867,21.146,-2.17,75.19
-2.936,III,2,0.001,3.28,-0.166,55.94
2.261,II,0,0.085,0.203,-1.131,37.22
2.14,III,1,0.138,2.411,-2.901,55.87
2.704,III,4,0.834,8.708,0.926,73.29
2.481,III,4,0.475,3.285,-1.333,76.5
-2.409,III,4,0.873,0.374,2.016,52.15
-2.417,II,1,1.297,1.819,-3.453,49.85
2.78,I,10,0.541,0.31,5.721,65.15
-2.412,III,2,0.162,1.74,-1.553,52.03
2.204,III,2,0.094,5.855,2.782,71.57
-2.432,I,8,0.53,3.621,-4.291,78.91
-2.555,III,5,1.439,0.013,-0.127,49.68
-2.552,III,4,0.963,1.936,-1.926,64.23
2.58,I,8,0.151,1.648,-2.069,59.76
2.146,II,3,1.117,0.07,-8.031,35.3
-2.218,II,3,0.911,1.507,-1.815,50.96
-2.791,II,4,0.27,2.985,1.715,68.18
2.75,II,7,0.179,1.882,0.881,50.76
-2.979,II,10,0.68,1.798,-0.764,52.48
-2.465,II,7,0.055,6.111,-2.297,81.26
-2.939,III,2,0.226,0.451,-0.973,53.38
2.351,IV,3,0.445,8.092,-2.282,70.85
-2.491,III,9,0.461,0.019,0.418,49.86
-2.498,II,4,0.312,3.186,-0.522,66.36
2.519,II,5,1.209,3.632,2.323,65.54
-2.863,II,2,0.404,0.57,0.306,49.15
2.117,II,6,0.534,1.721,-6.184,41.76
-2.31,III,7,1.845,1.055,0.27,59.16
-2.321,I,5,0.242,3.382,2.566,78.17
-2.099,II,2,0.23,0.298,-4.343,49.36
-2.495,I,2,0.974,1.921,0.099,60.96
-2.043,II,8,1.11,7.846,1.22,74.55
-2.386,I,5,0.908,2.745,-0.584,72.75
-2.766,III,6,0.053,3.534,-2.603,79.34
-2.132,III,2,0.591,0.811,2.46,53.24
2.467,II,2,0.191,1.004,2.116,55.6
-2.867,I,4,1.613,0.746,-0.211,58.65
2.912,III,4,0.16,3.724,-7.802,78.93
2.477,II,4,0.029,6.213,-2.703,77.81
2.169,III,3,0.894,0.237,3.497,56.26
-2.558,II,2,0.103,4.241,2.064,54.4
-2.198,II,7,1.09,0.361,-3.915,46.63
-2.999,III,2,1.152,9.226,-2.306,61.48
-2.041,III,5,0.007,0.965,-1.683,53.76
-2.589,III,6,0.452,0.771,1.933,55.3
2.981,III,6,0.889,7.934,1.396,75.61
2.453,III,7,0.823,0.935,-0.756,60.94
-2.334,III,9,1.523,1.931,-0.763,65.82
-2.479,I,3,0.752,1.047,0.215,64.06
2.533,II,6,0.189,7.925,2.628,82.13
-2.105,I,5,0.562,2.045,-2.417,80.27
-2.375,II,3,0.168,0.573,2.757,43.88
2.422,III,7,0.182,0.245,-7.079,56.77
2.252,II,4,0.339,10.023,-12.631,79.6
2.917,III,8,0.127,4.075,-1.393,80.88
-2.268,III,3,1.033,1.252,-1.639,56.46
-2.607,II,4,0.544,1.855,-1.876,50.1
-2.892,II,4,0.466,1.671,-1.603,49.15
2.465,III,2,0.777,0.009,2.568,54.81
-2.345,IV,11,1.157,1.461,0.907,64.03
-2.876,III,5,1.01,0.05,0.549,48.83
-2.089,III,3,0.413,4.179,-0.253,66.38
-2.264,IV,6,0.049,5.75,1.143,83.54
-2.836,III,4,0.097,8.343,-0.542,81.86
2.654,IV,2,0.309,1.005,-0.166,50.07
-2.245,II,4,0.472,8.322,-11.025,76.72
-2.799,IV,9,0.249,0.515,2.581,56.04
-2.324,II,6,0.309,3.974,2.841,77.25
2.419,II,6,0.8,8.084,-0.572,75.67
-2.41,III,5,1.015,1.724,-1.968,61.49
2.914,III,2,0.383,2.814,-4.019,58.24
2.863,III,4,0.39,4.793,-0.481,78.58
2.604,III,6,0.069,5.29,-1.665,81.08
-2.014,II,4,0.302,1.987,-3.467,55.82
